City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Liverpool,GB,53.29,overcast clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
95,Brownsville,US,53.1,overcast clouds,25.9018,-97.4975,University Inn & Suites
138,Alexandria,EG,51.76,scattered clouds,31.2156,29.9553,Royal Crown Hotel
149,Skibbereen,IE,51.6,overcast clouds,51.55,-9.2667,The West Cork Hotel
155,Ayr,GB,52.32,overcast clouds,55.4627,-4.6339,Mercure Ayr Hotel
301,Jalu,LY,53.22,overcast clouds,29.0331,21.5482,صاحبة الفخامة
326,Saint George,US,54.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
343,Nawabganj,BD,53.26,clear sky,24.5911,88.271,দা সফ্‌ট আইটি
358,Misratah,LY,53.06,clear sky,32.3754,15.0925,Almasa Hotel
362,Ferrol,ES,50.27,clear sky,43.4832,-8.2369,Parador de Ferrol
397,Malkangiri,IN,53.44,clear sky,18.35,81.9,Motu Nana
420,Faya,SA,52.32,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
490,Livingston,GB,52.12,overcast clouds,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
495,Portree,GB,50.52,overcast clouds,57.4129,-6.1942,The Royal Hotel
545,Bridlington,GB,51.69,few clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
546,Kibre Mengist,ET,53.28,overcast clouds,5.8833,38.9833,Gunbuur Motel
555,Antibes,FR,54.68,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
556,Gort,IE,51.55,overcast clouds,53.0664,-8.8167,Lady Gregory Hotel
573,Koutsouras,GR,50.4,broken clouds,35.0339,25.9469,The White Houses
602,Hurghada,EG,54.3,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
651,Peniche,PT,53.1,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
